index,회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
14072,우리산업홀딩스(주),72470.0,201812.0,200310.0,,0,0,0,4.61,16.278666275117104
14073,우리산업홀딩스(주),72470.0,201912.0,200310.0,,0,0,0,3.09,-2.267342277811353
14074,우리산업홀딩스(주),72470.0,202012.0,200310.0,,0,0,0,4.73,-6.226358977641884
14075,우리손에프앤지농업회사법인(주),73560.0,201612.0,201607.0,,0,0,0,5.69,20.43329074666554
14076,우리손에프앤지농업회사법인(주),73560.0,201712.0,201607.0,,0,0,0,12.8,12.337186383206374
14077,우리손에프앤지농업회사법인(주),73560.0,201812.0,201607.0,,0,0,0,4.44,12.90127558423346
14078,우리손에프앤지농업회사법인(주),73560.0,201912.0,201607.0,,0,0,0,1.66,-4.88002543763827
14079,우리손에프앤지농업회사법인(주),73560.0,202012.0,201607.0,,0,0,0,5.5,5.26586315263438
14080,우리엔터프라이즈(주),37400.0,201112.0,199912.0,,0,0,0,1.59,-97.65792550790503
14081,우리엔터프라이즈(주),37400.0,201212.0,199912.0,,0,0,0,6.47,-13.978018204871423
14082,우리엔터프라이즈(주),37400.0,201312.0,199912.0,,0,0,0,1.18,3538.781937229277
14083,우리엔터프라이즈(주),37400.0,201412.0,199912.0,,0,0,0,0.08,25.14701152015748
14084,우리엔터프라이즈(주),37400.0,201512.0,199912.0,,0,0,0,3.53,42.68553530316519
14085,우리엔터프라이즈(주),37400.0,201612.0,199912.0,,0,0,0,-1.44,-17.406872286793014
14086,우리엔터프라이즈(주),37400.0,201712.0,199912.0,,1,0,1,-0.4,-4.333195118718723
14087,우리엔터프라이즈(주),37400.0,201812.0,199912.0,,1,0,1,-1.25,-12.95815400033536
14088,우리엔터프라이즈(주),37400.0,201912.0,199912.0,,1,0,1,2.87,30.364544391504893
14089,우리엔터프라이즈(주),37400.0,202012.0,199912.0,,1,0,1,6.14,-2.9882323208944364
14090,우리이앤엘(주),153490.0,201312.0,201302.0,,0,1,1,-0.72,-49.68052904054269
14091,우리이앤엘(주),153490.0,201412.0,201302.0,,0,1,1,-0.31,-22.88274185066029
14092,우리이앤엘(주),153490.0,201512.0,201302.0,,0,1,1,0.04,-4.0440366180545535
14093,우리이앤엘(주),153490.0,201612.0,201302.0,,0,1,1,-1.74,-22.387225742362947
14094,우리이앤엘(주),153490.0,201712.0,201302.0,,0,1,1,-2.84,7.862134724002927
14095,우리이앤엘(주),153490.0,201812.0,201302.0,,0,1,1,2.75,-9.949953480543128
14096,우리이앤엘(주),153490.0,201912.0,201302.0,,0,1,1,3.86,-6.761351638950291
14097,우리이앤엘(주),153490.0,202012.0,201302.0,,0,1,1,7.33,-8.18035708794625
14098,우림피티에스(주),101170.0,201112.0,200904.0,,0,0,0,34.92,39.29493694173418
14099,우림피티에스(주),101170.0,201212.0,200904.0,,0,0,0,16.5,-24.696770359928824
14100,우림피티에스(주),101170.0,201312.0,200904.0,,0,0,0,10.12,8.112497966964076
14101,우림피티에스(주),101170.0,201412.0,200904.0,,0,0,0,14.66,5.794797853900066
14102,우림피티에스(주),101170.0,201512.0,200904.0,,0,0,0,26.68,-18.792342627400664
