회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
(주)광무,29480.0,201812.0,199608.0,,1,1,1,-3.19,7.121263390714422
(주)광무,29480.0,201912.0,199608.0,,1,1,1,-2.9,58.11082247187544
(주)광무,29480.0,202012.0,199608.0,,1,1,1,-1.92,-30.994853933009885
(주)광주신세계,37710.0,201112.0,200202.0,,0,0,0,153.89249999999998,3.060764209923698
(주)광주신세계,37710.0,201212.0,200202.0,,0,0,0,153.89249999999998,-2.6457119574162453
(주)광주신세계,37710.0,201312.0,200202.0,,0,0,0,13.07,-3.3659453688276177
(주)광주신세계,37710.0,201412.0,200202.0,,0,0,0,10.46,-0.8645480597371793
(주)광주신세계,37710.0,201512.0,200202.0,,0,0,0,15.34,0.2496972214118784
(주)광주신세계,37710.0,201612.0,200202.0,,0,0,0,30.68,2.479742406503516
(주)광주신세계,37710.0,201712.0,200202.0,,0,0,0,86.86,-0.3688911425018242
(주)광주신세계,37710.0,201812.0,200202.0,,0,0,0,715.98,-35.50438126194387
(주)광주신세계,37710.0,201912.0,200202.0,,0,0,0,193.26,14.544519645920792
(주)광주신세계,37710.0,202012.0,200202.0,,0,0,0,165.49,-4.759210993300236
(주)구영테크,53270.0,201112.0,200202.0,,0,0,0,0.96,-1.802620060093358
(주)구영테크,53270.0,201212.0,200202.0,,0,0,0,1.29,5.382228506669871
(주)구영테크,53270.0,201312.0,200202.0,,0,0,0,1.39,10.885447179360328
(주)구영테크,53270.0,201412.0,200202.0,,0,0,0,1.38,-1.2843163363533825
(주)구영테크,53270.0,201512.0,200202.0,,0,0,0,1.97,0.9114917633744384
(주)구영테크,53270.0,201612.0,200202.0,,0,0,0,1.65,-13.81975281016784
(주)구영테크,53270.0,201712.0,200202.0,,0,0,0,2.37,1.032868176058819
(주)구영테크,53270.0,201812.0,200202.0,,0,0,0,1.47,30.30365394536278
(주)구영테크,53270.0,201912.0,200202.0,,0,0,0,1.33,18.24180495614645
(주)구영테크,53270.0,202012.0,200202.0,,0,0,0,1.04,-14.811493995477717
(주)국동,5320.0,201112.0,199612.0,,0,0,0,0.5,2.5244435956865643
