회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률,시장구분
(주)모두투어네트워크,080160,201612,200507,,0,0,0,임대업,1,0.6816127224116529,0.2302685863769393,0.9158730158730156,0.6302335259484648,-0.0771863117870722,-0.0828729281767955,0.0238095238095237,-0.1147540983606554,KOSDAQ
(주)대덕,008060,201512,198901,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.4520832130239305,0.0949788659225794,0.0825396825396824,0.6163434052626912,4.26615969581749,1.1900552486187843,1.5952380952380956,0.6229508196721314,KOSPI
(주)포스코아이씨티,022100,201312,200011,,0,0,0,"전문, 과학 및 기술 서비스업",0,0.2194636904373481,1.3153471399041563,0.484126984126984,-0.4532436433595534,-0.0334600760456273,-0.1337016574585635,-0.1238095238095239,0.39344262295082,KOSDAQ
(주)파인넥스,123260,201312,201112,43931.0,1,0,1,제조업,1,3.4311937679960045,-0.1346703702610198,-2.295238095238095,0.85781046398188,-1.1977186311787071,-1.971270718232044,-0.8000000000000003,-1.147540983606557,KOSDAQ
조일알미늄(주),018470,201312,198811,,0,0,0,제조업,1,-0.6022456596955595,-0.6874731941160117,-0.5476190476190476,-0.4442382605966747,0.4771863117870723,0.0552486187845303,0.742857142857143,0.557377049180328,KOSPI
코스모화학(주),005420,201312,198707,,1,0,1,제조업,1,3.688357980327194,-4.122142612570163,-1.0031746031746032,-0.5286705462583315,-0.5174904942965779,-0.5082872928176795,-0.8095238095238098,-0.7868852459016391,KOSPI
(주)실리콘화일,082930,201312,200804,41782.0,0,0,0,제조업,1,0.0877438044998382,2.2679496777142774,1.6746031746031742,-0.1811173496885637,1.3650190114068443,0.4629834254143646,0.914285714285714,1.0000000000000002,KOSDAQ
(주)파티게임즈,194510,201512,201411,44083.0,1,0,1,정보통신업,0,-0.4200191354816546,-4.874182993897838,-2.2523809523809524,0.0033360849780665,-1.1167300380228136,-1.7790055248618786,-0.3523809523809525,-0.9999999999999998,KOSDAQ
(주)티라유텍,322180,202012,201910,,0,0,0,정보통신업,0,0.9509947478594571,-1.8847895275158604,-1.3333333333333333,2.784900974900907,-0.1954372623574144,-0.5259668508287292,1.3142857142857147,0.6065573770491806,KOSDAQ
(주)우진,105840,201512,201007,,0,0,0,제조업,1,-0.0961946523783414,0.1919428598005785,-0.5968253968253968,0.0873249237612482,-0.8813688212927756,-1.3160220994475138,-0.342857142857143,-0.5245901639344259,KOSPI
삼성엔지니어링(주),028050,201412,199612,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.6012348370170885,6.030962740106674,-0.2857142857142857,-0.3606792241726304,-0.9315589353612168,-1.3558011049723755,-0.3095238095238096,-0.2131147540983604,KOSPI
(주)바이오톡스텍,086040,201312,200709,,1,0,1,"전문, 과학 및 기술 서비스업",0,-0.2636875025217579,-4.874182993897838,-1.3507936507936509,-0.4787861835597186,-0.4448669201520912,-0.2994475138121547,-0.7190476190476193,-0.967213114754098,KOSDAQ
(주)케이에이치필룩스,033180,201612,200112,,0,0,0,제조업,1,0.560026083963718,1.3651169173775957,0.5365079365079364,-0.3847959121020064,-0.5665399239543726,-0.7325966850828729,-0.3095238095238096,-0.4754098360655736,KOSPI
(주)오뚜기,007310,201412,199408,,0,0,0,제조업,1,0.0220878428868867,0.0904656903219159,0.726984126984127,2.495111850947271,0.2733840304182509,-0.0198895027624309,0.5714285714285714,1.540983606557377,KOSPI
(주)녹십자웰빙,234690,202012,201910,,0,0,0,제조업,1,0.5241769393208061,-0.8366889291575603,-0.3793650793650794,-0.1442157471397675,-0.6216730038022813,-0.8077348066298341,0.1714285714285714,-0.4590163934426228,KOSDAQ
나라엠앤디(주),051490,201612,200106,,0,0,0,제조업,1,-0.0839214086209978,-0.6186100886980865,-0.4857142857142857,-0.0517331950688706,-0.1243346007604562,0.1745856353591161,-0.4285714285714287,-0.5737704918032784,KOSDAQ
대한그린파워(주),060900,201312,200209,,1,0,1,"전기, 가스, 증기 및 공기조절 공급업",0,3.922669333258433,-4.874182993897838,-1.061904761904762,-0.6940830541892085,-0.5197718631178707,-0.6530386740331491,-0.3333333333333335,-0.2295081967213113,KOSDAQ
제일모직(주),001300,201312,197505,41835.0,0,0,0,제조업,1,-1.4923987503590803,-0.484380371814413,-0.1142857142857143,0.0263748558797645,0.0106463878326996,-0.0198895027624309,-0.1047619047619048,0.6721311475409839,KOSPI
(주)뷰웍스,100120,201312,200904,,0,0,0,제조업,1,2.0073603754752067,0.7929025365328326,2.3095238095238093,0.0610728685555229,2.18212927756654,0.993370165745856,2.157142857142857,0.5245901639344264,KOSDAQ
(주)동서,026960,201612,201607,,0,0,0,도매 및 소매업,1,-0.0919181020037077,-0.1057454392824209,-0.1507936507936508,0.8276219649472297,2.5893536121673,1.5690607734806628,0.8523809523809524,-0.6557377049180326,KOSPI
(주)연우,115960,201512,201511,,0,0,0,제조업,1,0.7808156721822341,0.6125265700531357,0.8873015873015871,0.971728555932296,0.9638783269961978,0.4331491712707183,0.3380952380952381,1.131147540983607,KOSDAQ
(주)버킷스튜디오,066410,201312,200312,,1,0,1,정보통신업,0,0.4804425340265483,6.030962740106674,-0.3603174603174603,-0.6940830541892085,-1.1977186311787071,-1.803314917127072,0.7285714285714286,-0.0491803278688521,KOSDAQ
(주)포스코인터내셔널,047050,201612,200103,,0,0,0,도매 및 소매업,1,-0.4369795132850443,-0.1881936990334948,-0.0920634920634921,-0.4813104196371922,0.1022813688212927,-0.0607734806629834,0.2380952380952381,1.278688524590164,KOSPI
(주)코디,080530,201312,201001,,1,0,1,제조업,1,0.4887976807964202,6.030962740106674,-0.4507936507936508,-0.3946950108815041,-0.5623574144486692,-0.7138121546961326,-0.6142857142857144,-0.5573770491803276,KOSDAQ
(주)케이피티유,054410,201512,200204,,0,0,0,제조업,1,0.4321020155950961,0.58050227565533,-0.2238095238095238,-0.0930215105847358,-0.5212927756653992,-0.5337016574585635,-0.8190476190476192,-0.901639344262295,KOSDAQ
한양이엔지(주),045100,202012,200008,,0,0,0,"전문, 과학 및 기술 서비스업",0,-0.2259591094552591,0.6655203923767395,0.8666666666666665,2.059285436522285,0.5916349809885931,0.0386740331491713,0.7714285714285714,0.4426229508196722,KOSDAQ
(주)와이티엔,040300,201512,200109,,1,0,1,정보통신업,0,0.3947118469358773,0.8885567781259496,-0.9952380952380953,-0.4945660701737628,-1.117490494296578,-1.971270718232044,-0.6952380952380953,0.754098360655738,KOSDAQ
(주)넥스트아이,137940,202012,201106,,0,1,1,제조업,1,-2.0353976937624334,-4.445598950074313,-1.676190476190476,0.2500153500842549,-1.1977186311787071,-1.971270718232044,-0.8333333333333335,-1.2295081967213113,KOSDAQ
한솔인티큐브(주),070590,201312,200401,,0,0,0,정보통신업,0,0.8035706227912973,2.3000482841881684,0.13015873015873,-0.5091111277877458,-0.5749049429657794,-0.7513812154696132,0.2285714285714286,0.9016393442622952,KOSDAQ
나이스정보통신(주),036800,201412,200005,,0,0,0,정보통신업,0,0.4958617097550011,0.0223359424346611,0.8396825396825395,0.5278791641367454,0.3965779467680609,1.1303867403314918,-0.3190476190476192,-0.6065573770491801,KOSDAQ
(주)엠에스씨,009780,201312,199310,,0,0,0,제조업,1,0.4096824255660235,0.4228914641913277,0.0952380952380951,-0.1591564958145436,0.1977186311787072,0.549171270718232,-0.3285714285714287,0.098360655737705,KOSDAQ
(주)한진칼,180640,202012,201309,,1,0,1,운수 및 창고업,0,-2.0353976937624334,-4.874182993897838,-1.846031746031746,-0.1642117902291596,-0.6334600760456274,-1.5116022099447513,-0.8476190476190478,-1.2295081967213113,KOSPI
(주)골드앤에스,035290,201312,199912,,1,0,1,정보통신업,0,-0.6401783054890041,-2.1011128780872714,-2.295238095238095,-0.6940830541892085,-0.461977186311787,-0.4331491712707181,-0.5571428571428573,-0.4590163934426228,KOSDAQ
