회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률,시장구분
한국화장품(주),123690,201212,201006,,1,0,1,도매 및 소매업,1,0.0173604997548682,0.0235975038276329,-2.2545304777594724,1.1688311688311688,-1.2459701604194784,-0.7355665553358582,-1.2734806629834252,-2.08167770419426,-1.3974562798092212,-1.034138546570021,0.3888660670497007,-0.5829596412556055,-0.6718750000000002,KOSPI
(주)에스에프씨,112240,201812,201111,44012.0,1,0,1,제조업,1,-1.232587870443224,-2.351759178935584,-1.5658978583196044,2.227272727272727,-0.3983352815223524,-0.3632612714799357,-0.8441199684293608,-1.8554083885209711,-0.4663487016428194,-0.914066524428275,0.9131713073648824,-0.7130044843049329,-1.234375,KOSDAQ
상신브레이크(주),041650,201212,200410,,0,0,0,제조업,1,0.3892611432941898,0.5563387080484923,1.2240527182866556,-0.2142857142857143,0.0831280616389774,0.0549317039944302,0.0272296764009471,0.1291390728476821,0.1822999470058292,-0.2415570326573147,-0.5204746600487082,-0.1748878923766817,0.2343749999999998,KOSPI
(주)화승코퍼레이션,013520,201812,199102,,0,0,0,제조업,1,0.0895160523785842,0.633648038890659,1.1787479406919277,1.0389610389610389,-0.6891406915061696,-0.1643774558590027,-0.3283346487766377,-0.3355408388520972,-0.273449920508744,-0.4125931547595036,-0.0803215813119825,-0.3766816143497759,-0.1406250000000001,KOSPI
에이피티씨(주),089970,201912,201808,,0,0,0,제조업,1,-0.3471398549672205,-0.2130467011805489,1.5930807248764418,-1.025974025974026,0.1721316915981371,-0.0582562660852618,4.147987371744278,1.5772626931567326,1.3762586115527295,4.9971700552587945,0.7876462855381106,2.5426008968609866,-0.3437500000000001,KOSDAQ
(주)케이에이치필룩스,033180,201912,200112,,1,0,1,제조업,1,0.9427782014278588,2.112398669041463,-0.528830313014827,2.493506493506493,-0.40538689948487,-0.1623865729002948,-0.4636937647987372,-0.5562913907284768,-0.1377848436671967,-0.8022738671204597,2.4654421601562517,-0.6412556053811661,-0.96875,KOSPI
(주)에스아이리소스,065420,201212,200208,,0,0,0,광업,0,-0.6024056941586255,-0.9704372847286284,-0.5601317957166392,1.0389610389610389,-0.3043044958548743,-0.309860596698334,-0.5662983425414364,-0.7339955849889624,0.3041865394806571,-1.1109094779169264,0.2715390864393471,-0.2152466367713006,0.5781249999999998,KOSDAQ
(주)인콘,083640,201912,200512,,1,0,1,제조업,1,-1.46646469984089,-0.1823750535273388,-1.00164744645799,3.720779220779221,-0.4853194129399884,-0.328122921455897,-0.6286503551696921,-1.0364238410596027,-1.4753577106518283,-1.221323563321825,0.2491558142702472,-0.7085201793721975,-1.1718750000000002,KOSDAQ
현대위아(주),011210,201812,201102,,0,0,0,제조업,1,0.0584199184459943,-0.7426203751321857,-0.6260296540362438,0.1623376623376623,-1.860962785229349,-1.248612354694547,-0.5043409629044988,-0.6479028697571744,-0.7821939586645471,0.4787973162083068,1.468265732481084,-0.1928251121076234,0.4218749999999996,KOSPI
(주)모두투어네트워크,080160,201212,200507,,0,0,0,임대업,1,0.313756680118703,0.3624108150523774,1.5823723228995057,-1.1428571428571428,0.7783942065922549,0.5718818749667214,0.6582478295185478,0.8774834437086092,1.377848436671966,-0.388889183317595,-0.6423393412390275,-0.085201793721973,-0.4687500000000002,KOSDAQ
에스케이가스(주),018670,201912,199708,,0,0,0,도매 및 소매업,1,-1.6211613951383448,1.0134459938330422,0.3064250411861615,0.3246753246753246,11.313521373728785,13.140001190915845,-0.3078137332280978,-0.3763796909492273,-0.848436671966084,4.740955959697775,8.68812145558732,-0.0896860986547086,0.6562499999999999,KOSPI
삼성제약(주),001360,201212,197507,,1,0,1,제조업,1,0.1604280049948313,0.2690585313142008,-0.5082372322899505,3.720779220779221,-0.5367716787080871,-0.8787151418186712,-0.8535911602209945,-2.08167770419426,0.0821409644939057,-0.5990424236939911,-0.3141081355703335,-0.7174887892376683,-1.0312500000000002,KOSPI
