,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,노동소득분배율
117,(주)국순당,43650,201312,200008,,0,0,0,제조업,1,3.998323956,1.535257048,-16.44874355,-3.18,-74.49108597,2.68,0.67,-1.17,76.62,733.62,24.58,5.84,65.28237483
118,(주)국순당,43650,201412,200008,,0,0,0,제조업,1,-0.291305667,1.152767975,-7.370839143,-4.11,-24.91954265,1.59,0.5,-0.72,76.9,698.29,17.0,3.83,69.1056459
119,(주)국순당,43650,201512,200008,,0,0,0,제조업,1,-0.410112038,0.689285221,-15.69770766,-4.0,-417.5185649,-1.63,-3.78,-2.29,75.09,905.17,-16.38,-3.92,113.4075287
120,(주)국순당,43650,201612,200008,,1,0,1,제조업,1,-1.654338279,-2.093502047,-9.996830706,-8.04,20.85798679,-1.29,-3.02,-1.44,75.03,790.47,-16.38,-6.36,105.085367
121,(주)국영지앤엠,6050,201312,199410,,0,0,0,제조업,1,4.834712041,0.837858492,27.42747392,4.08,211.8595074,1.55,2.16,0.6,2.37,204.36,-4.05,-1.22,66.64257945
122,(주)국영지앤엠,6050,201412,199410,,0,0,0,제조업,1,-6.51628079,1.932299614,-7.703796563,17.65,19.11594755,0.65,2.6,0.23,1.15,304.03,39.32,8.98,74.84092022
123,(주)국영지앤엠,6050,201512,199410,,0,0,0,제조업,1,7.996568431,3.665590057,-22.10874277,-12.5,-165.4746642,-0.87,-1.69,-0.24,-0.96,222.09,13.17,4.84,92.0658931
124,(주)국영지앤엠,6050,201612,199410,,0,0,0,제조업,1,3.072388612,3.237536989,28.29612268,7.62,517.6582876,0.6,0.38,-0.16,0.92,252.94,-8.76,-2.57,78.76716668
125,(주)국영지앤엠,6050,202012,199410,,0,0,0,제조업,1,1.996084845,-3.433673786,-11.8161926,5.22,-308.0089199,-1.88,-2.97,0.06,0.12,215.19,8.2,2.42,103.9568515
126,(주)그래디언트,35080,201312,199907,,0,0,0,도매 및 소매업,1,74.29506522,89.56853759,79.59517381,28.57,240.5134273,2.03,4.08,0.11,75.77,135.82,2.51,0.72,47.5512534
