,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,자기자본회전률,순운전자본회전률
79,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,6.634083479,11.37131491,13.94540537,6.07,35.38728866,11.15,-0.42,630.2068665,395.42,395.42,24.95,84.54,19.36,39.68,1.148436877,1.48
80,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,19.71343442,14.09778365,11.48992289,2.29,10.5749851,10.87,-0.36,751.9150861,295.5,288.81,31.1,62.2,18.17,36.1,1.135019375,1.4
81,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,6.030227139,4.111102986,13.73958056,2.61,1.298068675,9.81,-0.28,714.3793398,224.87,219.17,33.52,57.21,16.48,36.5,1.186815559,1.32
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,14.30577361,10.7646865,1.82,43.07917217,12.77,-0.28,1133.348488,262.0,255.35,32.62,56.79,16.44,41.1,1.20259741,1.27
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,18.19082721,15.20910244,-1.07,30.50368396,13.51,0.03,1559.019108,201.58,195.45,48.13,45.28,19.83,50.49,1.190518841,1.25
84,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,30.06717252,28.33782898,13.98321998,7.58,20.25832179,12.41,-0.29,1754.749815,244.16,238.12,50.13,50.12,25.74,35.27,1.097114723,1.11
85,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.866238169,7.469802391,-3.683470629,2.14,-13.66902279,18.36,-2.91,1781.688427,263.97,263.46,20.11,99.17,28.6,28.7,0.560692541,0.8
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,5.079568924,2.410138672,1.24,-17.1272683,14.41,-2.91,1431.374555,224.82,224.59,22.54,80.84,28.6,24.52,0.559983631,0.79
87,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,6.721867694,6.141140325,5.022050284,14.86,-4.156014781,12.92,-2.91,1391.023892,189.47,189.21,23.21,74.52,28.6,27.01,0.55679492,0.82
88,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.803584759,7.453677967,9.935809491,-1.8,32.24675992,15.85,-2.91,1679.665926,219.66,219.47,24.76,69.79,28.6,26.79,0.573052259,0.82
