,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
7133,에스케이씨(주),11790,202012,199707,,0,0,0,제조업,1,36.07906235,10.93272731,6.394998165,-29.72,23.02505964,2.72,4.07,2.21,3.03,71.93,52.51,182.3,5.41,6.99,680.751875
7134,에스케이씨솔믹스(주),57500,201112,200112,44188.0,0,0,0,제조업,1,44.01324036,2.819306365,64.30115207,22.44,-207.6877697,-6.64,-2.26,-6.89,5.14,54.19,32.91,221.69,-10.92,-14.6,48.1369873
7135,에스케이커뮤니케이션즈(주),66270,201112,200311,42793.0,0,0,0,정보통신업,0,1.203755528,6.306368641,7.473816697,22.88,-61.68476337,1.63,1.68,1.85,-1.11,197.01,197.0,36.27,35.14,11.35,-7.087448902
7136,에스케이케미칼(주),285130,202012,201801,,0,0,0,제조업,1,-0.550834667,33.42484995,-14.88779037,-4.43,32.29509669,21.01,5.0,28.33,1.86,142.99,103.82,121.08,15.9,15.19,156.488386
7137,에스케이텔레콤(주),17670,201112,198911,,0,0,0,정보통신업,0,7.568226166,2.035959942,3.259887426,-10.54,9.738696984,9.93,8.97,14.03,0.64,91.67,88.38,91.37,45.77,28.89,579.3154539
7138,에스케이텔레콤(주),17670,201312,198911,,0,0,0,정보통신업,0,3.832522635,10.20456822,1.850097011,2.9,14.25641242,9.69,7.71,12.95,1.54,84.42,81.5,87.6,30.45,22.76,680.751875
7139,에스케이텔레콤(주),17670,201412,198911,,0,0,0,정보통신업,0,5.135051562,7.635677642,3.383581582,1.46,-9.248816107,10.48,6.7,12.88,1.46,93.78,88.84,83.24,28.5,21.08,680.751875
7140,에스케이텔레콤(주),17670,201512,198911,,0,0,0,정보통신업,0,2.291072838,0.825182135,-0.157680718,-4.87,-6.416014421,8.85,6.04,10.21,1.38,98.17,92.96,85.91,28.22,21.75,680.751875
7141,에스케이텔레콤(주),17670,201612,198911,,0,0,0,정보통신업,0,9.503653549,4.828472516,-0.26211529,8.72,-10.08556176,9.71,5.13,10.74,1.27,93.06,89.02,94.2,26.42,23.47,680.751875
7142,에스케이텔레콤(주),17670,201712,198911,,0,0,0,정보통신업,0,6.808834257,11.86841627,2.505275039,2.25,0.057431447,15.17,4.75,15.38,1.2,87.24,83.41,85.41,26.3,23.11,680.751875
