,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,자기자본정상영업이익률,금융비용부담률,1주당순이익,1주당 CASH FLOW,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,부가가치율,종업원1인당부가가치율_계산,자본집약도_계산,타인자본회전률,순운전자본회전률
3581,평화산업(주),90080,201212,200606,,0,0,0,제조업,1,0.7190551919967717,1.3434419548147936,0.44481054365733114,0.2272727272727273,-0.40438405312113124,-0.15512017383284224,-0.10299921073401734,-0.18543046357615894,-0.4933757286698464,-0.5192995601274479,-0.5513773166727888,0.04035874439461878,0.390625
3582,평화홀딩스(주),10770,201212,198603,,1,0,1,제조업,1,0.09223506381233487,7.390980493740282,-0.12026359143327842,1.6818181818181817,-0.4823776904812325,0.5270948954111376,-0.4068666140489344,-0.4690949227373068,-0.0026497085320615114,-0.49557749836187537,4.203727516663832,-0.4394618834080719,-0.06250000000000006
3583,포스코스틸리온(주),58430,201212,200208,,1,0,1,제조업,1,-0.7465657396266293,1.1227835465815084,-0.6976935749588137,0.15584415584415579,-1.9326221208115613,-0.09621591173561378,-0.5438042620363062,-0.6766004415011038,-0.9703232644409118,-0.16634910674394424,0.760731106012784,0.22869955156950666,0.8124999999999997
3584,포스코홀딩스(주),5490,201212,198806,,0,0,0,제조업,1,-0.5955025913408021,-0.31539830865601015,0.08484349258649088,0.2662337662337662,11.313521373728783,13.140001190915845,-0.001973164956590329,0.16225165562913904,-0.39427662957074733,2.7032779244151244,2.807229492561216,-0.29596412556053825,0.15624999999999978
3585,포스코홀딩스(주),5490,201812,198806,,0,0,0,제조업,1,0.1529037538724437,0.2819428843778317,0.32948929159802304,0.12337662337662338,11.313521373728783,13.140001190915845,0.23441199684293604,0.35540838852097123,-0.28669846316905145,2.62568115200797,3.0386092613447397,-0.13901345291479825,0.23437499999999986
3586,포스코홀딩스(주),5490,201912,198806,,0,0,0,제조업,1,-0.25324344065111193,-0.2896976948043537,0.03459637561779241,0.11688311688311688,11.313521373728783,13.140001190915845,0.26479873717442776,0.3984547461368654,-0.29093799682034993,2.253857324372624,3.057073801203097,-0.1434977578475338,0.1874999999999998
3587,풍국주정공업(주),23900,201212,199411,,0,0,0,제조업,1,0.5019997910890301,-0.2663623803115971,0.0008237232289950401,-0.08441558441558442,0.22977173343158255,0.27551047681026497,0.9715864246250986,0.3885209713024283,-0.4324324324324325,0.9139090420803074,1.4204123049536934,0.8251121076233185,1.4374999999999998
3588,풍국주정공업(주),23900,201812,199411,,0,0,0,제조업,1,0.3979076934420095,0.2679540677948268,0.17545304777594734,-0.5454545454545455,0.39982775054392045,0.1806184579505837,1.0832675611681135,0.5883002207505518,0.13884472708002127,2.421460077850414,2.665562852758413,0.5919282511210763,0.32812499999999994
3589,풍국주정공업(주),23900,201912,199411,,0,0,0,제조업,1,-0.16503714772849762,-0.19200625896044746,-0.03789126853377265,-0.45454545454545453,0.2592093278686962,0.3793508694440245,1.3149171270718232,0.7317880794701986,0.1436142024377319,1.9399488762794534,2.640211743505815,0.5919282511210763,0.390625
3590,피씨엘(주),241820,201812,201702,,0,1,1,제조업,1,-1.9733886546909971,-0.48001780705818964,-2.2545304777594724,-2.1818181818181817,-0.7897010346944148,-0.6441570359862986,-1.2734806629834252,-2.0816777041942602,-1.4753577106518285,-1.6687733869680041,-0.5950945091668397,-0.8116591928251123,-1.234375
